"DATETIME","COUNT","DOW","HOUR","DAY"
2013-01-20 07:00:00,3,"Sunday",7,20
2013-01-20 08:00:00,4,"Sunday",8,20
2013-01-20 09:00:00,3,"Sunday",9,20
2013-01-20 10:00:00,7,"Sunday",10,20
2013-01-20 11:00:00,9,"Sunday",11,20
2013-01-20 12:00:00,10,"Sunday",12,20
2013-01-20 13:00:00,9,"Sunday",13,20
2013-01-20 14:00:00,11,"Sunday",14,20
2013-01-20 15:00:00,3,"Sunday",15,20
2013-01-20 16:00:00,2,"Sunday",16,20
2013-01-20 17:00:00,3,"Sunday",17,20
2013-01-20 18:00:00,8,"Sunday",18,20
2013-01-20 19:00:00,9,"Sunday",19,20
2013-01-20 20:00:00,10,"Sunday",20,20
2013-01-20 21:00:00,14,"Sunday",21,20
2013-01-20 22:00:00,13,"Sunday",22,20
2013-01-20 23:00:00,17,"Sunday",23,20
2013-01-21 00:00:00,10,"Monday",0,21
2013-01-21 01:00:00,5,"Monday",1,21
2013-01-21 02:00:00,6,"Monday",2,21
2013-01-21 03:00:00,3,"Monday",3,21
2013-01-21 04:00:00,2,"Monday",4,21
2013-01-21 05:00:00,2,"Monday",5,21
2013-01-21 06:00:00,2,"Monday",6,21
2013-01-21 07:00:00,2,"Monday",7,21
2013-01-21 08:00:00,2,"Monday",8,21
2013-01-21 09:00:00,4,"Monday",9,21
2013-01-21 10:00:00,4,"Monday",10,21
2013-01-21 11:00:00,8,"Monday",11,21
2013-01-21 12:00:00,5,"Monday",12,21
2013-01-21 13:00:00,5,"Monday",13,21
2013-01-21 14:00:00,7,"Monday",14,21
2013-01-21 15:00:00,9,"Monday",15,21
2013-01-21 16:00:00,8,"Monday",16,21
2013-01-21 17:00:00,4,"Monday",17,21
2013-01-21 18:00:00,4,"Monday",18,21
2013-01-21 19:00:00,9,"Monday",19,21
2013-01-21 20:00:00,7,"Monday",20,21
2013-01-21 21:00:00,8,"Monday",21,21
2013-01-21 22:00:00,8,"Monday",22,21
2013-01-21 23:00:00,9,"Monday",23,21
2013-01-22 00:00:00,7,"Tuesday",0,22
2013-01-22 01:00:00,7,"Tuesday",1,22
2013-01-22 02:00:00,5,"Tuesday",2,22
2013-01-22 03:00:00,4,"Tuesday",3,22
2013-01-22 04:00:00,2,"Tuesday",4,22
2013-01-22 05:00:00,1,"Tuesday",5,22
2013-01-22 06:00:00,1,"Tuesday",6,22
2013-01-22 07:00:00,3,"Tuesday",7,22
2013-01-22 08:00:00,1,"Tuesday",8,22
2013-01-22 09:00:00,4,"Tuesday",9,22
2013-01-22 10:00:00,9,"Tuesday",10,22
2013-01-22 11:00:00,7,"Tuesday",11,22
2013-01-22 12:00:00,3,"Tuesday",12,22
2013-01-22 13:00:00,6,"Tuesday",13,22
2013-01-22 14:00:00,3,"Tuesday",14,22
2013-01-22 15:00:00,5,"Tuesday",15,22
2013-01-22 16:00:00,6,"Tuesday",16,22
2013-01-22 17:00:00,6,"Tuesday",17,22
2013-01-22 18:00:00,9,"Tuesday",18,22
2013-01-22 19:00:00,11,"Tuesday",19,22
2013-01-22 20:00:00,12,"Tuesday",20,22
2013-01-22 21:00:00,16,"Tuesday",21,22
2013-01-22 22:00:00,15,"Tuesday",22,22
2013-01-22 23:00:00,17,"Tuesday",23,22
2013-01-23 00:00:00,10,"Wednesday",0,23
2013-01-23 01:00:00,6,"Wednesday",1,23
2013-01-23 02:00:00,6,"Wednesday",2,23
2013-01-23 03:00:00,3,"Wednesday",3,23
2013-01-23 04:00:00,0,"Wednesday",4,23
2013-01-23 05:00:00,1,"Wednesday",5,23
2013-01-23 06:00:00,1,"Wednesday",6,23
2013-01-23 07:00:00,3,"Wednesday",7,23
2013-01-23 08:00:00,3,"Wednesday",8,23
2013-01-23 09:00:00,4,"Wednesday",9,23
2013-01-23 10:00:00,8,"Wednesday",10,23
2013-01-23 11:00:00,17,"Wednesday",11,23
2013-01-23 12:00:00,13,"Wednesday",12,23
2013-01-23 13:00:00,16,"Wednesday",13,23
2013-01-23 14:00:00,15,"Wednesday",14,23
2013-01-23 15:00:00,16,"Wednesday",15,23
2013-01-23 16:00:00,15,"Wednesday",16,23
2013-01-23 17:00:00,17,"Wednesday",17,23
2013-01-23 18:00:00,16,"Wednesday",18,23
2013-01-23 19:00:00,15,"Wednesday",19,23
2013-01-23 20:00:00,12,"Wednesday",20,23
2013-01-23 21:00:00,9,"Wednesday",21,23
2013-01-23 22:00:00,5,"Wednesday",22,23
2013-01-23 23:00:00,4,"Wednesday",23,23
